Filename,Segments
PD_PERRO_0016.wav,8
HC_O2_0143.wav,20
PD_CARMEN_0078.wav,7
HC_PERRO_0081.wav,7
HC_PATATA_BLANDA_0052.wav,9
HC_A2_0065.wav,12
HC_ABLANDADA_0137.wav,13
PD_E1_0043.wav,16
PD_SOMBRA_0020.wav,12
PD_CALLE_0047.wav,14
HC_A3_0129.wav,20
PD_PAN_VINO_0006.wav,8
PD_E2_0024.wav,18
HC_O2_0121.wav,27
HC_PATAKA_0073.wav,51
HC_BARBAS_0054.wav,22
HC_CALLE_0065.wav,14
HC_PERRO_0082.wav,7
HC_O2_0071.wav,24
HC_TOMAS_0136.wav,10
PD_PERRO_0010.wav,7
HC_CARMEN_0053.wav,6
PD_ACAMPADA_0006.wav,7
HC_CALLE_0081.wav,14
PD_PETACA_BLANCA_0018.wav,13
PD_SOMBRA_0021.wav,20
PD_DIABLO_0004.wav,14
PD_BARBAS_0038.wav,30
PD_BARBAS_0021.wav,26
HC_GANGA_0137.wav,9
HC_U1_0105.wav,18
PD_BURRO_0016.wav,10
HC_SOMBRA_0073.wav,37
HC_PAN_VINO_0053.wav,8
HC_E2_0081.wav,19
HC_MANGA_0130.wav,7
HC_PETACA_BLANCA_0062.wav,11
PD_E3_0027.wav,19
PD_O2_0013.wav,17
PD_TOMAS_0018.wav,7
HC_BURRO_0131.wav,11
PD_CALLE_0038.wav,29
PD_ABLANDADA_0109.wav,13
HC_CALLE_0072.wav,16
HC_U2_0144.wav,9
PD_O2_0046.wav,20
HC_BURRO_0087.wav,9
PD_BARBAS_0113.wav,22
PD_DIABLO_0033.wav,10
HC_BARBAS_0138.wav,21
HC_E1_0132.wav,3
HC_PIDIO_0076.wav,13
HC_BURRO_0062.wav,10
HC_CARMEN_0138.wav,6
PD_CALLE_0018.wav,18
PD_PATAKA_0007.wav,44
PD_SOMBRA_0026.wav,46
PD_O1_0028.wav,19
HC_ESPONTANEA_0062.wav,173
PD_MANGA_0031.wav,7
PD_PERRO_0014.wav,7
HC_CARMEN_0083.wav,0
HC_PATAKA_0133.wav,82
PD_TOMAS_0022.wav,4
PD_GANGA_0042.wav,9
PD_I1_0047.wav,19
PD_I2_0066.wav,24
PD_I3_0023.wav,18
HC_DIABLO_0048.wav,10
HC_A1_0064.wav,16
HC_PETACA_BLANCA_0045.wav,10
HC_GANGA_0055.wav,7
PD_ACAMPADA_0017.wav,7
HC_CALLE_0052.wav,14
PD_PERRO_0039.wav,6
PD_I2_0041.wav,22
HC_MANGA_0081.wav,8
PD_I2_0014.wav,22
HC_MANGA_0061.wav,6
HC_I2_0122.wav,31
PD_CARMEN_0117.wav,8
PD_TOMAS_0043.wav,6
PD_ACAMPADA_0032.wav,6
PD_U1_0067.wav,17
HC_I1_0134.wav,17
PD_E1_0078.wav,20
HC_PERRO_0142.wav,9
PD_PATATA_BLANDA_0040.wav,9
PD_BURRO_0013.wav,8
PD_PERRO_0043.wav,8
PD_I1_0038.wav,24
HC_PIDIO_0130.wav,12
HC_DIABLO_0144.wav,16
HC_PAN_VINO_0065.wav,7
HC_U1_0128.wav,44
PD_BURRO_0025.wav,10
PD_PATATA_BLANDA_0035.wav,8
PD_BARBAS_0031.wav,18
HC_O1_0142.wav,30
PD_I2_0004.wav,12
PD_E1_0033.wav,17
PD_ACAMPADA_0027.wav,6
PD_E2_0111.wav,24
HC_CALLE_0087.wav,17
PD_GANGA_0079.wav,7
PD_CALLE_0021.wav,20
